1, none, minecraft:the_void, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
51, plains, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
52, plains, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 80, 4, 4
53, plains, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 80, 4, 4
54, plains, minecraft:sunflower_plains, MONSTER, minecraft:slime, 80, 4, 4
55, plains, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 5, 1, 4
56, plains, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
57, plains, minecraft:sunflower_plains, MONSTER, graveyard:ghoul, 12, 2, 3
58, plains, minecraft:sunflower_plains, MONSTER, graveyard:revenant, 12, 2, 3
59, plains, minecraft:sunflower_plains, MONSTER, graveyard:nightmare, 5, 1, 1
60, plains, minecraft:sunflower_plains, MONSTER, graveyard:skeleton_creeper, 8, 1, 2
61, plains, minecraft:sunflower_plains, MONSTER, graveyard:acolyte, 7, 1, 2
62, plains, minecraft:sunflower_plains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
63, plains, minecraft:sunflower_plains, MONSTER, quark:stoneling, 80, 1, 1
64, plains, minecraft:sunflower_plains, MONSTER, quark:toretoise, 80, 2, 4
65, plains, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 4, 4
66, plains, minecraft:sunflower_plains, CREATURE, minecraft:pig, 10, 4, 4
67, plains, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 10, 4, 4
68, plains, minecraft:sunflower_plains, CREATURE, minecraft:cow, 8, 4, 4
69, plains, minecraft:sunflower_plains, CREATURE, minecraft:horse, 5, 2, 6
70, plains, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 3, 1, 3
71, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:hummingbird, 19, 7, 7
72, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
73, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:crow, 10, 3, 5
74, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:bison, 9, 6, 10
75, plains, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
76, plains, minecraft:sunflower_plains, AMBIENT, alexsmobs:fly, 3, 2, 3
77, plains, minecraft:sunflower_plains, AMBIENT, alexsmobs:cockroach, 4, 5, 5
78, plains, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
79, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
80, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
81, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
82, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
83, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
84, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
85, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:gar, 6, 1, 2
86, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:catfish, 3, 1, 1
87, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
88, plains, minecraft:sunflower_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
89, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 80, 4, 4
90, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 80, 4, 4
91, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
92, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
93, icy, minecraft:snowy_plains, MONSTER, minecraft:creeper, 80, 4, 4
94, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 80, 4, 4
95, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 5, 1, 4
96, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
97, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 80, 4, 4
98, icy, minecraft:snowy_plains, MONSTER, graveyard:ghoul, 12, 2, 3
99, icy, minecraft:snowy_plains, MONSTER, graveyard:revenant, 12, 2, 3
100, icy, minecraft:snowy_plains, MONSTER, graveyard:nightmare, 5, 1, 1
101, icy, minecraft:snowy_plains, MONSTER, graveyard:skeleton_creeper, 8, 1, 2
102, icy, minecraft:snowy_plains, MONSTER, graveyard:acolyte, 7, 1, 2
103, icy, minecraft:snowy_plains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
104, icy, minecraft:snowy_plains, MONSTER, quark:stoneling, 80, 1, 1
105, icy, minecraft:snowy_plains, MONSTER, quark:toretoise, 80, 2, 4
106, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 10, 2, 3
107, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 3, 1, 2
108, icy, minecraft:snowy_plains, CREATURE, waddles:adelie_penguin, 8, 1, 4
109, icy, minecraft:snowy_plains, CREATURE, alexsmobs:moose, 9, 3, 4
110, icy, minecraft:snowy_plains, CREATURE, alexsmobs:tusklin, 18, 3, 5
111, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat, 10, 8, 8
112, icy, minecraft:snowy_plains, AMBIENT, alexsmobs:fly, 3, 2, 3
113, icy, minecraft:snowy_plains, AMBIENT, alexsmobs:cockroach, 4, 5, 5
114, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
115, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
116, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
117, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
118, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
119, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
120, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
121, icy, minecraft:snowy_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
122, icy, minecraft:ice_spikes, MONSTER, minecraft:spider, 80, 4, 4
123, icy, minecraft:ice_spikes, MONSTER, minecraft:zombie, 80, 4, 4
124, icy, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager, 5, 1, 1
125, icy, minecraft:ice_spikes, MONSTER, minecraft:skeleton, 20, 4, 4
126, icy, minecraft:ice_spikes, MONSTER, minecraft:creeper, 80, 4, 4
127, icy, minecraft:ice_spikes, MONSTER, minecraft:slime, 80, 4, 4
128, icy, minecraft:ice_spikes, MONSTER, minecraft:enderman, 5, 1, 4
129, icy, minecraft:ice_spikes, MONSTER, minecraft:witch, 5, 1, 1
130, icy, minecraft:ice_spikes, MONSTER, minecraft:stray, 80, 4, 4
131, icy, minecraft:ice_spikes, MONSTER, graveyard:ghoul, 12, 2, 3
132, icy, minecraft:ice_spikes, MONSTER, graveyard:revenant, 12, 2, 3
133, icy, minecraft:ice_spikes, MONSTER, graveyard:nightmare, 5, 1, 1
134, icy, minecraft:ice_spikes, MONSTER, graveyard:skeleton_creeper, 8, 1, 2
135, icy, minecraft:ice_spikes, MONSTER, graveyard:acolyte, 7, 1, 2
136, icy, minecraft:ice_spikes, MONSTER, alexsmobs:centipede_head, 8, 1, 1
137, icy, minecraft:ice_spikes, MONSTER, quark:stoneling, 80, 1, 1
138, icy, minecraft:ice_spikes, MONSTER, quark:toretoise, 80, 2, 4
139, icy, minecraft:ice_spikes, CREATURE, minecraft:rabbit, 10, 2, 3
140, icy, minecraft:ice_spikes, CREATURE, minecraft:polar_bear, 3, 1, 2
141, icy, minecraft:ice_spikes, CREATURE, waddles:adelie_penguin, 8, 1, 4
142, icy, minecraft:ice_spikes, CREATURE, alexsmobs:froststalker, 20, 5, 7
143, icy, minecraft:ice_spikes, CREATURE, alexsmobs:tusklin, 18, 3, 5
144, icy, minecraft:ice_spikes, AMBIENT, minecraft:bat, 10, 8, 8
145, icy, minecraft:ice_spikes, AMBIENT, alexsmobs:fly, 3, 2, 3
146, icy, minecraft:ice_spikes, AMBIENT, alexsmobs:cockroach, 4, 5, 5
147, icy, minecraft:ice_spikes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
148, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
149, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
150, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
151, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
152, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
153, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
154, icy, minecraft:ice_spikes, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
155, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
156, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
157, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 3, 1, 1
158, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
159, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
160, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
161, desert, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
162, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
163, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
164, desert, minecraft:desert, MONSTER, graveyard:ghoul, 12, 2, 3
165, desert, minecraft:desert, MONSTER, graveyard:revenant, 12, 2, 3
166, desert, minecraft:desert, MONSTER, graveyard:nightmare, 5, 1, 1
167, desert, minecraft:desert, MONSTER, graveyard:skeleton_creeper, 8, 1, 2
168, desert, minecraft:desert, MONSTER, graveyard:acolyte, 7, 1, 2
169, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 8, 1, 1
170, desert, minecraft:desert, MONSTER, alexsmobs:guster, 35, 1, 2
171, desert, minecraft:desert, MONSTER, quark:stoneling, 80, 1, 1
172, desert, minecraft:desert, MONSTER, quark:toretoise, 80, 2, 4
173, desert, minecraft:desert, CREATURE, minecraft:rabbit, 4, 2, 3
174, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 9, 2, 2
175, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
176, desert, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 6, 1, 1
177, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
178, desert, minecraft:desert, AMBIENT, alexsmobs:fly, 3, 2, 3
179, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 4, 5, 5
180, desert, minecraft:desert, AMBIENT, alexsmobs:jerboa, 12, 1, 3
181, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
182, desert, minecraft:desert, WATER_AMBIENT, aquaculture:capitaine, 3, 1, 1
183, desert, minecraft:desert, WATER_AMBIENT, aquaculture:synodontis, 20, 1, 6
184, desert, minecraft:desert, WATER_AMBIENT, aquaculture:boulti, 10, 1, 3
185, desert, minecraft:desert, WATER_AMBIENT, aquaculture:bayad, 6, 1, 2
186, desert, minecraft:desert, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
187, swamp, minecraft:swamp, MONSTER, minecraft:spider, 80, 4, 4
188, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 80, 4, 4
189, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 5, 1, 1
190, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 80, 4, 4
191, swamp, minecraft:swamp, MONSTER, minecraft:creeper, 80, 4, 4
192, swamp, minecraft:swamp, MONSTER, minecraft:slime, 80, 4, 4
193, swamp, minecraft:swamp, MONSTER, minecraft:enderman, 5, 1, 4
194, swamp, minecraft:swamp, MONSTER, minecraft:witch, 5, 1, 1
195, swamp, minecraft:swamp, MONSTER, minecraft:slime, 3, 1, 1
196, swamp, minecraft:swamp, MONSTER, graveyard:ghoul, 12, 2, 3
197, swamp, minecraft:swamp, MONSTER, graveyard:revenant, 12, 2, 3
198, swamp, minecraft:swamp, MONSTER, graveyard:nightmare, 5, 1, 1
199, swamp, minecraft:swamp, MONSTER, graveyard:skeleton_creeper, 8, 1, 2
200, swamp, minecraft:swamp, MONSTER, graveyard:acolyte, 7, 1, 2
201, swamp, minecraft:swamp, MONSTER, alexsmobs:centipede_head, 8, 1, 1
202, swamp, minecraft:swamp, MONSTER, quark:stoneling, 80, 1, 1
203, swamp, minecraft:swamp, MONSTER, quark:toretoise, 80, 2, 4
204, swamp, minecraft:swamp, CREATURE, minecraft:sheep, 12, 4, 4
205, swamp, minecraft:swamp, CREATURE, minecraft:pig, 10, 4, 4
206, swamp, minecraft:swamp, CREATURE, minecraft:chicken, 10, 4, 4
207, swamp, minecraft:swamp, CREATURE, minecraft:cow, 8, 4, 4
208, swamp, minecraft:swamp, CREATURE, aquaculture:box_turtle, 10, 1, 2
209, swamp, minecraft:swamp, CREATURE, alexsmobs:crocodile, 40, 1, 2
210, swamp, minecraft:swamp, CREATURE, alexsmobs:shoebill, 10, 1, 2
211, swamp, minecraft:swamp, CREATURE, alexsmobs:alligator_snapping_turtle, 20, 1, 2
212, swamp, minecraft:swamp, CREATURE, alexsmobs:anaconda, 12, 1, 1
213, swamp, minecraft:swamp, CREATURE, quark:frog, 40, 1, 3
214, swamp, minecraft:swamp, AMBIENT, minecraft:bat, 10, 8, 8
215, swamp, minecraft:swamp, AMBIENT, alexsmobs:fly, 3, 2, 3
216, swamp, minecraft:swamp, AMBIENT, alexsmobs:cockroach, 4, 5, 5
217, swamp, minecraft:swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
218, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
219, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
220, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
221, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
222, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
223, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
224, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:gar, 6, 1, 2
225, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:catfish, 3, 1, 1
226, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
227, swamp, minecraft:swamp, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
228, swamp, minecraft:swamp, WATER_AMBIENT, alexsmobs:catfish, 4, 1, 3
229, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
230, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
231, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
232, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
233, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
234, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
235, forest, minecraft:forest, MONSTER, minecraft:enderman, 5, 1, 4
236, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
237, forest, minecraft:forest, MONSTER, graveyard:ghoul, 12, 2, 3
238, forest, minecraft:forest, MONSTER, graveyard:revenant, 12, 2, 3
239, forest, minecraft:forest, MONSTER, graveyard:nightmare, 5, 1, 1
240, forest, minecraft:forest, MONSTER, graveyard:skeleton_creeper, 8, 1, 2
241, forest, minecraft:forest, MONSTER, graveyard:acolyte, 7, 1, 2
242, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 8, 1, 1
243, forest, minecraft:forest, MONSTER, quark:stoneling, 80, 1, 1
244, forest, minecraft:forest, MONSTER, quark:toretoise, 80, 2, 4
245, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
246, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
247, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
248, forest, minecraft:forest, CREATURE, minecraft:cow, 8, 4, 4
249, forest, minecraft:forest, CREATURE, minecraft:wolf, 5, 4, 4
250, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 8, 2, 3
251, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
252, forest, minecraft:forest, CREATURE, alexsmobs:crow, 10, 3, 5
253, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
254, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
255, forest, minecraft:forest, AMBIENT, alexsmobs:fly, 3, 2, 3
256, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach, 4, 5, 5
257, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
258, forest, minecraft:forest, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
259, forest, minecraft:forest, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
260, forest, minecraft:forest, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
261, forest, minecraft:forest, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
262, forest, minecraft:forest, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
263, forest, minecraft:forest, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
264, forest, minecraft:forest, WATER_AMBIENT, aquaculture:gar, 6, 1, 2
265, forest, minecraft:forest, WATER_AMBIENT, aquaculture:catfish, 3, 1, 1
266, forest, minecraft:forest, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
267, forest, minecraft:forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
268, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 80, 4, 4
269, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 80, 4, 4
270, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
271, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 80, 4, 4
272, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 80, 4, 4
273, forest, minecraft:flower_forest, MONSTER, minecraft:slime, 80, 4, 4
274, forest, minecraft:flower_forest, MONSTER, minecraft:enderman, 5, 1, 4
275, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 5, 1, 1
276, forest, minecraft:flower_forest, MONSTER, alexsmobs:centipede_head, 8, 1, 1
277, forest, minecraft:flower_forest, MONSTER, quark:stoneling, 80, 1, 1
278, forest, minecraft:flower_forest, MONSTER, quark:toretoise, 80, 2, 4
279, forest, minecraft:flower_forest, CREATURE, minecraft:sheep, 12, 4, 4
280, forest, minecraft:flower_forest, CREATURE, minecraft:pig, 10, 4, 4
281, forest, minecraft:flower_forest, CREATURE, minecraft:chicken, 10, 4, 4
282, forest, minecraft:flower_forest, CREATURE, minecraft:cow, 8, 4, 4
283, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 4, 2, 3
284, forest, minecraft:flower_forest, CREATURE, alexsmobs:grizzly_bear, 8, 2, 3
285, forest, minecraft:flower_forest, CREATURE, alexsmobs:hummingbird, 19, 7, 7
286, forest, minecraft:flower_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
287, forest, minecraft:flower_forest, CREATURE, alexsmobs:crow, 10, 3, 5
288, forest, minecraft:flower_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
289, forest, minecraft:flower_forest, AMBIENT, minecraft:bat, 10, 8, 8
290, forest, minecraft:flower_forest, AMBIENT, alexsmobs:fly, 3, 2, 3
291, forest, minecraft:flower_forest, AMBIENT, alexsmobs:cockroach, 4, 5, 5
292, forest, minecraft:flower_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
293, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
294, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
295, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
296, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
297, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
298, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
299, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:gar, 6, 1, 2
300, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:catfish, 3, 1, 1
301, forest, minecraft:flower_forest, WATER_AMBIENT, aquaculture:muskellunge, 3, 1, 1
302, forest, minecraft:flower_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
303, forest, minecraft:birch_forest, MONSTER, minecraft:spider, 80, 4, 4
304, forest, minecraft:birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
305, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
306, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
307, forest, minecraft:birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
308, forest, minecraft:birch_forest, MONSTER, minecraft:slime, 80, 4, 4
309, forest, minecraft:birch_forest, MONSTER, minecraft:enderman, 5, 1, 4
310, forest, minecraft:birch_forest, MONSTER, minecraft:witch, 5, 1, 1
311, forest, minecraft:birch_forest, MONSTER, graveyard:ghoul, 12, 2, 3
312, forest, minecraft:birch_forest, MONSTER, graveyard:revenant, 12, 2, 3
313, forest, minecraft:birch_forest, MONSTER, graveyard:nightmare, 5, 1, 1
314, forest, minecraft:birch_forest, MONSTER, graveyard:skeleton_creeper, 8, 1, 2
315, forest, minecraft:birch_forest, MONSTER, graveyard:acolyte, 7, 1, 2
316, forest, minecraft:birch_forest, MONSTER, alexsmobs:centipede_head, 8, 1, 1
317, forest, minecraft:birch_forest, MONSTER, quark:stoneling, 80, 1, 1
318, forest, minecraft:birch_forest, MONSTER, quark:toretoise, 80, 2, 4
319, forest, minecraft:birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
320, forest, minecraft:birch_forest, CREATURE, minecraft:pig, 10, 4, 4
321, forest, minecraft:birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
322, forest, minecraft:birch_forest, CREATURE, minecraft:cow, 8, 4, 4
323, forest, minecraft:birch_forest, CREATURE, alexsmobs:grizzly_bear, 8, 2, 3
324, forest, minecraft:birch_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
325, forest, minecraft:birch_forest, CREATURE, alexsmobs:crow, 10, 3, 5
326, forest, minecraft:birch_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
327, forest, minecraft:birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
328, forest, minecraft:birch_forest, AMBIENT, alexsmobs:fly, 3, 2, 3
329, forest, minecraft:birch_forest, AMBIENT, alexsmobs:cockroach, 4, 5, 5
330, forest, minecraft:birch_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
