5482, none, beyond_earth:infernal_venus_barrens, CREATURE, ars_nouveau:drygmy,0,1,1
2484, forest, biomesoplenty:bamboo_grove, MONSTER, restored_earth:viler_witch,3,1,1
2505, forest, biomesoplenty:bamboo_grove, AMBIENT, alexsmobs:cockroach,4,5,5
2500, forest, biomesoplenty:bamboo_grove, CREATURE, ars_nouveau:starbuncle,4,1,1
2501, forest, biomesoplenty:bamboo_grove, CREATURE, ars_nouveau:whirlisprig,5,1,1
2477, forest, biomesoplenty:bamboo_grove, MONSTER, minecraft:enderman,5,1,4
2478, forest, biomesoplenty:bamboo_grove, MONSTER, minecraft:witch,5,1,1
2473, forest, biomesoplenty:bamboo_grove, MONSTER, minecraft:zombie_villager,5,1,1
2515, forest, biomesoplenty:bamboo_grove, WATER_AMBIENT, aquaculture:gar,6,1,2
2485, forest, biomesoplenty:bamboo_grove, MONSTER, restored_earth:bouldering_zombie,6,1,1
2486, forest, biomesoplenty:bamboo_grove, MONSTER, alexsmobs:centipede_head,8,1,1
2496, forest, biomesoplenty:bamboo_grove, CREATURE, alexsmobs:grizzly_bear,8,2,3
2494, forest, biomesoplenty:bamboo_grove, CREATURE, minecraft:cow,8,4,4
2498, forest, biomesoplenty:bamboo_grove, CREATURE, alexsmobs:crow,10,3,5
2497, forest, biomesoplenty:bamboo_grove, CREATURE, alexsmobs:raccoon,10,2,4
2499, forest, biomesoplenty:bamboo_grove, CREATURE, alexsmobs:tasmanian_devil,10,1,2
2509, forest, biomesoplenty:bamboo_grove, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2508, forest, biomesoplenty:bamboo_grove, WATER_AMBIENT, aquaculture:carp,10,1,3
2511, forest, biomesoplenty:bamboo_grove, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
2503, forest, biomesoplenty:bamboo_grove, AMBIENT, minecraft:bat,10,8,8
2493, forest, biomesoplenty:bamboo_grove, CREATURE, minecraft:chicken,10,4,4
2506, forest, biomesoplenty:bamboo_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
2492, forest, biomesoplenty:bamboo_grove, CREATURE, minecraft:pig,10,4,4
2491, forest, biomesoplenty:bamboo_grove, CREATURE, minecraft:sheep,12,4,4
2513, forest, biomesoplenty:bamboo_grove, WATER_AMBIENT, aquaculture:minnow,18,1,5
2512, forest, biomesoplenty:bamboo_grove, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2514, forest, biomesoplenty:bamboo_grove, WATER_AMBIENT, aquaculture:perch,20,1,6
2488, forest, biomesoplenty:bamboo_grove, MONSTER, ars_nouveau:wilden_hunter,30,1,1
2487, forest, biomesoplenty:bamboo_grove, MONSTER, ars_nouveau:wilden_stalker,30,3,3
2475, forest, biomesoplenty:bamboo_grove, MONSTER, minecraft:creeper,50,4,4
2474, forest, biomesoplenty:bamboo_grove, MONSTER, minecraft:skeleton,50,4,4
2476, forest, biomesoplenty:bamboo_grove, MONSTER, minecraft:slime,50,4,4
2471, forest, biomesoplenty:bamboo_grove, MONSTER, minecraft:spider,50,4,4
2472, forest, biomesoplenty:bamboo_grove, MONSTER, minecraft:zombie,50,4,4
2490, forest, biomesoplenty:bamboo_grove, MONSTER, quark:stoneling,50,1,1
2489, forest, biomesoplenty:bamboo_grove, MONSTER, quark:toretoise,50,2,4
2547, swamp, biomesoplenty:bayou, AMBIENT, alexsmobs:fly,3,2,3
2550, swamp, biomesoplenty:bayou, WATER_AMBIENT, aquaculture:catfish,3,1,1
2544, swamp, biomesoplenty:bayou, CREATURE, ars_nouveau:drygmy,3,1,1
2525, swamp, biomesoplenty:bayou, MONSTER, instrumentalmobs:drum_zombie,4,4,4
2527, swamp, biomesoplenty:bayou, MONSTER, instrumentalmobs:french_horn_creeper,4,4,4
2524, swamp, biomesoplenty:bayou, MONSTER, instrumentalmobs:maraca_spider,4,4,4
2528, swamp, biomesoplenty:bayou, MONSTER, instrumentalmobs:tuba_enderman,4,1,4
2526, swamp, biomesoplenty:bayou, MONSTER, instrumentalmobs:xylophone_skeleton,4,4,4
2529, swamp, biomesoplenty:bayou, MONSTER, restored_earth:viler_witch,3,1,1
2548, swamp, biomesoplenty:bayou, AMBIENT, alexsmobs:cockroach,4,5,5
2542, swamp, biomesoplenty:bayou, CREATURE, ars_nouveau:starbuncle,4,1,1
2543, swamp, biomesoplenty:bayou, CREATURE, ars_nouveau:whirlisprig,5,1,1
2522, swamp, biomesoplenty:bayou, MONSTER, minecraft:enderman,5,1,4
2523, swamp, biomesoplenty:bayou, MONSTER, minecraft:witch,5,1,1
2518, swamp, biomesoplenty:bayou, MONSTER, minecraft:zombie_villager,5,1,1
2554, swamp, biomesoplenty:bayou, WATER_AMBIENT, aquaculture:gar,6,1,2
2530, swamp, biomesoplenty:bayou, MONSTER, restored_earth:bouldering_zombie,6,1,1
2531, swamp, biomesoplenty:bayou, MONSTER, alexsmobs:centipede_head,8,1,1
2539, swamp, biomesoplenty:bayou, CREATURE, alexsmobs:shoebill,10,1,2
2537, swamp, biomesoplenty:bayou, CREATURE, aquaculture:box_turtle,10,1,2
2551, swamp, biomesoplenty:bayou, WATER_AMBIENT, aquaculture:carp,10,1,3
2546, swamp, biomesoplenty:bayou, AMBIENT, minecraft:bat,10,8,8
2549, swamp, biomesoplenty:bayou, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
2536, swamp, biomesoplenty:bayou, CREATURE, minecraft:pig,10,4,4
2541, swamp, biomesoplenty:bayou, CREATURE, alexsmobs:anaconda,12,1,1
2553, swamp, biomesoplenty:bayou, WATER_AMBIENT, aquaculture:minnow,18,1,5
2540, swamp, biomesoplenty:bayou, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
2552, swamp, biomesoplenty:bayou, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2533, swamp, biomesoplenty:bayou, MONSTER, ars_nouveau:wilden_hunter,30,1,1
2532, swamp, biomesoplenty:bayou, MONSTER, ars_nouveau:wilden_stalker,30,3,3
2538, swamp, biomesoplenty:bayou, CREATURE, alexsmobs:crocodile,40,1,2
2545, swamp, biomesoplenty:bayou, CREATURE, quark:frog,40,1,3
2520, swamp, biomesoplenty:bayou, MONSTER, minecraft:creeper,50,4,4
2519, swamp, biomesoplenty:bayou, MONSTER, minecraft:skeleton,50,4,4
2521, swamp, biomesoplenty:bayou, MONSTER, minecraft:slime,50,4,4
2516, swamp, biomesoplenty:bayou, MONSTER, minecraft:spider,50,4,4
2517, swamp, biomesoplenty:bayou, MONSTER, minecraft:zombie,50,4,4
2535, swamp, biomesoplenty:bayou, MONSTER, quark:stoneling,50,1,1
2534, swamp, biomesoplenty:bayou, MONSTER, quark:toretoise,50,2,4
2584, taiga, biomesoplenty:bog, AMBIENT, alexsmobs:fly,3,2,3
2587, taiga, biomesoplenty:bog, WATER_AMBIENT, aquaculture:catfish,3,1,1
2590, taiga, biomesoplenty:bog, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
2581, taiga, biomesoplenty:bog, CREATURE, ars_nouveau:drygmy,3,1,1
2564, taiga, biomesoplenty:bog, MONSTER, instrumentalmobs:drum_zombie,3,4,4
2566, taiga, biomesoplenty:bog, MONSTER, instrumentalmobs:french_horn_creeper,3,4,4
2563, taiga, biomesoplenty:bog, MONSTER, instrumentalmobs:maraca_spider,3,4,4
2567, taiga, biomesoplenty:bog, MONSTER, instrumentalmobs:tuba_enderman,3,1,4
2565, taiga, biomesoplenty:bog, MONSTER, instrumentalmobs:xylophone_skeleton,3,4,4
2568, taiga, biomesoplenty:bog, MONSTER, restored_earth:viler_witch,3,1,1
2585, taiga, biomesoplenty:bog, AMBIENT, alexsmobs:cockroach,4,5,5
2561, taiga, biomesoplenty:bog, MONSTER, minecraft:enderman,5,1,4
2562, taiga, biomesoplenty:bog, MONSTER, minecraft:witch,5,1,1
2557, taiga, biomesoplenty:bog, MONSTER, minecraft:zombie_villager,5,1,1
2595, taiga, biomesoplenty:bog, WATER_AMBIENT, aquaculture:gar,6,1,2
2569, taiga, biomesoplenty:bog, MONSTER, restored_earth:bouldering_zombie,6,1,1
2570, taiga, biomesoplenty:bog, MONSTER, alexsmobs:centipede_head,8,1,1
2578, taiga, biomesoplenty:bog, CREATURE, alexsmobs:shoebill,10,1,2
2576, taiga, biomesoplenty:bog, CREATURE, aquaculture:box_turtle,10,1,2
2589, taiga, biomesoplenty:bog, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2588, taiga, biomesoplenty:bog, WATER_AMBIENT, aquaculture:carp,10,1,3
2591, taiga, biomesoplenty:bog, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
2583, taiga, biomesoplenty:bog, AMBIENT, minecraft:bat,10,8,8
2586, taiga, biomesoplenty:bog, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
2580, taiga, biomesoplenty:bog, CREATURE, alexsmobs:anaconda,12,1,1
2593, taiga, biomesoplenty:bog, WATER_AMBIENT, aquaculture:minnow,18,1,5
2579, taiga, biomesoplenty:bog, CREATURE, alexsmobs:alligator_snapping_turtle,20,1,2
2592, taiga, biomesoplenty:bog, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2594, taiga, biomesoplenty:bog, WATER_AMBIENT, aquaculture:perch,20,1,6
2571, taiga, biomesoplenty:bog, MONSTER, ars_nouveau:wilden_guardian,30,1,1
2573, taiga, biomesoplenty:bog, MONSTER, ars_nouveau:wilden_hunter,30,1,1
2572, taiga, biomesoplenty:bog, MONSTER, ars_nouveau:wilden_stalker,30,3,3
2577, taiga, biomesoplenty:bog, CREATURE, alexsmobs:crocodile,40,1,2
2582, taiga, biomesoplenty:bog, CREATURE, quark:frog,40,1,3
2559, taiga, biomesoplenty:bog, MONSTER, minecraft:creeper,50,4,4
2558, taiga, biomesoplenty:bog, MONSTER, minecraft:skeleton,50,4,4
2560, taiga, biomesoplenty:bog, MONSTER, minecraft:slime,50,4,4
2555, taiga, biomesoplenty:bog, MONSTER, minecraft:spider,50,4,4
2556, taiga, biomesoplenty:bog, MONSTER, minecraft:zombie,50,4,4
2575, taiga, biomesoplenty:bog, MONSTER, quark:stoneling,50,1,1
2574, taiga, biomesoplenty:bog, MONSTER, quark:toretoise,50,2,4
2630, forest, biomesoplenty:boreal_forest, AMBIENT, alexsmobs:fly,3,2,3
2633, forest, biomesoplenty:boreal_forest, WATER_AMBIENT, aquaculture:catfish,3,1,1
2636, forest, biomesoplenty:boreal_forest, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
2628, forest, biomesoplenty:boreal_forest, CREATURE, ars_nouveau:drygmy,3,1,1
2605, forest, biomesoplenty:boreal_forest, MONSTER, instrumentalmobs:drum_zombie,3,4,4
2607, forest, biomesoplenty:boreal_forest, MONSTER, instrumentalmobs:french_horn_creeper,3,4,4
2604, forest, biomesoplenty:boreal_forest, MONSTER, instrumentalmobs:maraca_spider,3,4,4
2608, forest, biomesoplenty:boreal_forest, MONSTER, instrumentalmobs:tuba_enderman,3,1,4
2606, forest, biomesoplenty:boreal_forest, MONSTER, instrumentalmobs:xylophone_skeleton,3,4,4
2609, forest, biomesoplenty:boreal_forest, MONSTER, restored_earth:viler_witch,3,1,1
2631, forest, biomesoplenty:boreal_forest, AMBIENT, alexsmobs:cockroach,4,5,5
2626, forest, biomesoplenty:boreal_forest, CREATURE, ars_nouveau:starbuncle,4,1,1
2627, forest, biomesoplenty:boreal_forest, CREATURE, ars_nouveau:whirlisprig,5,1,1
2602, forest, biomesoplenty:boreal_forest, MONSTER, minecraft:enderman,5,1,4
2603, forest, biomesoplenty:boreal_forest, MONSTER, minecraft:witch,5,1,1
2620, forest, biomesoplenty:boreal_forest, CREATURE, minecraft:wolf,5,4,4
2598, forest, biomesoplenty:boreal_forest, MONSTER, minecraft:zombie_villager,5,1,1
2641, forest, biomesoplenty:boreal_forest, WATER_AMBIENT, aquaculture:gar,6,1,2
2610, forest, biomesoplenty:boreal_forest, MONSTER, restored_earth:bouldering_zombie,6,1,1
2611, forest, biomesoplenty:boreal_forest, MONSTER, alexsmobs:centipede_head,8,1,1
2622, forest, biomesoplenty:boreal_forest, CREATURE, alexsmobs:grizzly_bear,8,2,3
2619, forest, biomesoplenty:boreal_forest, CREATURE, minecraft:cow,8,4,4
2621, forest, biomesoplenty:boreal_forest, CREATURE, minecraft:fox,8,2,4
2624, forest, biomesoplenty:boreal_forest, CREATURE, alexsmobs:crow,10,3,5
2623, forest, biomesoplenty:boreal_forest, CREATURE, alexsmobs:raccoon,10,2,4
2625, forest, biomesoplenty:boreal_forest, CREATURE, alexsmobs:tasmanian_devil,10,1,2
2635, forest, biomesoplenty:boreal_forest, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2634, forest, biomesoplenty:boreal_forest, WATER_AMBIENT, aquaculture:carp,10,1,3
2637, forest, biomesoplenty:boreal_forest, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
2629, forest, biomesoplenty:boreal_forest, AMBIENT, minecraft:bat,10,8,8
2618, forest, biomesoplenty:boreal_forest, CREATURE, minecraft:chicken,10,4,4
2632, forest, biomesoplenty:boreal_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
2617, forest, biomesoplenty:boreal_forest, CREATURE, minecraft:pig,10,4,4
2616, forest, biomesoplenty:boreal_forest, CREATURE, minecraft:sheep,12,4,4
2639, forest, biomesoplenty:boreal_forest, WATER_AMBIENT, aquaculture:minnow,18,1,5
2638, forest, biomesoplenty:boreal_forest, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2640, forest, biomesoplenty:boreal_forest, WATER_AMBIENT, aquaculture:perch,20,1,6
2613, forest, biomesoplenty:boreal_forest, MONSTER, ars_nouveau:wilden_hunter,30,1,1
2612, forest, biomesoplenty:boreal_forest, MONSTER, ars_nouveau:wilden_stalker,30,3,3
2600, forest, biomesoplenty:boreal_forest, MONSTER, minecraft:creeper,50,4,4
2599, forest, biomesoplenty:boreal_forest, MONSTER, minecraft:skeleton,50,4,4
2601, forest, biomesoplenty:boreal_forest, MONSTER, minecraft:slime,50,4,4
2596, forest, biomesoplenty:boreal_forest, MONSTER, minecraft:spider,50,4,4
2597, forest, biomesoplenty:boreal_forest, MONSTER, minecraft:zombie,50,4,4
2615, forest, biomesoplenty:boreal_forest, MONSTER, quark:stoneling,50,1,1
2614, forest, biomesoplenty:boreal_forest, MONSTER, quark:toretoise,50,2,4
2675, forest, biomesoplenty:cherry_blossom_grove, AMBIENT, alexsmobs:fly,3,2,3
2678, forest, biomesoplenty:cherry_blossom_grove, WATER_AMBIENT, aquaculture:catfish,3,1,1
2681, forest, biomesoplenty:cherry_blossom_grove, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
2673, forest, biomesoplenty:cherry_blossom_grove, CREATURE, ars_nouveau:drygmy,3,1,1
2651, forest, biomesoplenty:cherry_blossom_grove, MONSTER, instrumentalmobs:drum_zombie,3,4,4
2653, forest, biomesoplenty:cherry_blossom_grove, MONSTER, instrumentalmobs:french_horn_creeper,3,4,4
2650, forest, biomesoplenty:cherry_blossom_grove, MONSTER, instrumentalmobs:maraca_spider,3,4,4
2654, forest, biomesoplenty:cherry_blossom_grove, MONSTER, instrumentalmobs:tuba_enderman,3,1,4
2652, forest, biomesoplenty:cherry_blossom_grove, MONSTER, instrumentalmobs:xylophone_skeleton,3,4,4
2655, forest, biomesoplenty:cherry_blossom_grove, MONSTER, restored_earth:viler_witch,3,1,1
2676, forest, biomesoplenty:cherry_blossom_grove, AMBIENT, alexsmobs:cockroach,4,5,5
2671, forest, biomesoplenty:cherry_blossom_grove, CREATURE, ars_nouveau:starbuncle,4,1,1
2672, forest, biomesoplenty:cherry_blossom_grove, CREATURE, ars_nouveau:whirlisprig,5,1,1
2648, forest, biomesoplenty:cherry_blossom_grove, MONSTER, minecraft:enderman,5,1,4
2649, forest, biomesoplenty:cherry_blossom_grove, MONSTER, minecraft:witch,5,1,1
2644, forest, biomesoplenty:cherry_blossom_grove, MONSTER, minecraft:zombie_villager,5,1,1
2686, forest, biomesoplenty:cherry_blossom_grove, WATER_AMBIENT, aquaculture:gar,6,1,2
2656, forest, biomesoplenty:cherry_blossom_grove, MONSTER, restored_earth:bouldering_zombie,6,1,1
2657, forest, biomesoplenty:cherry_blossom_grove, MONSTER, alexsmobs:centipede_head,8,1,1
2666, forest, biomesoplenty:cherry_blossom_grove, CREATURE, alexsmobs:grizzly_bear,8,2,3
2665, forest, biomesoplenty:cherry_blossom_grove, CREATURE, minecraft:cow,8,4,4
2668, forest, biomesoplenty:cherry_blossom_grove, CREATURE, alexsmobs:crow,10,3,5
2667, forest, biomesoplenty:cherry_blossom_grove, CREATURE, alexsmobs:raccoon,10,2,4
2669, forest, biomesoplenty:cherry_blossom_grove, CREATURE, alexsmobs:tasmanian_devil,10,1,2
2680, forest, biomesoplenty:cherry_blossom_grove, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2679, forest, biomesoplenty:cherry_blossom_grove, WATER_AMBIENT, aquaculture:carp,10,1,3
2682, forest, biomesoplenty:cherry_blossom_grove, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
2674, forest, biomesoplenty:cherry_blossom_grove, AMBIENT, minecraft:bat,10,8,8
2664, forest, biomesoplenty:cherry_blossom_grove, CREATURE, minecraft:chicken,10,4,4
2677, forest, biomesoplenty:cherry_blossom_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
2663, forest, biomesoplenty:cherry_blossom_grove, CREATURE, minecraft:pig,10,4,4
2662, forest, biomesoplenty:cherry_blossom_grove, CREATURE, minecraft:sheep,12,4,4
2684, forest, biomesoplenty:cherry_blossom_grove, WATER_AMBIENT, aquaculture:minnow,18,1,5
2683, forest, biomesoplenty:cherry_blossom_grove, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2685, forest, biomesoplenty:cherry_blossom_grove, WATER_AMBIENT, aquaculture:perch,20,1,6
2659, forest, biomesoplenty:cherry_blossom_grove, MONSTER, ars_nouveau:wilden_hunter,30,1,1
2658, forest, biomesoplenty:cherry_blossom_grove, MONSTER, ars_nouveau:wilden_stalker,30,3,3
2670, forest, biomesoplenty:cherry_blossom_grove, CREATURE, alexsmobs:tiger,50,1,3
2646, forest, biomesoplenty:cherry_blossom_grove, MONSTER, minecraft:creeper,60,4,4
2645, forest, biomesoplenty:cherry_blossom_grove, MONSTER, minecraft:skeleton,60,4,4
2647, forest, biomesoplenty:cherry_blossom_grove, MONSTER, minecraft:slime,60,4,4
2642, forest, biomesoplenty:cherry_blossom_grove, MONSTER, minecraft:spider,70,4,4
2643, forest, biomesoplenty:cherry_blossom_grove, MONSTER, minecraft:zombie,65,4,4
2661, forest, biomesoplenty:cherry_blossom_grove, MONSTER, quark:stoneling,60,1,1
2660, forest, biomesoplenty:cherry_blossom_grove, MONSTER, quark:toretoise,20,2,4
2720, plains, biomesoplenty:clover_patch, AMBIENT, alexsmobs:fly,3,2,3
2723, plains, biomesoplenty:clover_patch, WATER_AMBIENT, aquaculture:catfish,3,1,1
2726, plains, biomesoplenty:clover_patch, WATER_AMBIENT, aquaculture:muskellunge,3,1,1
2718, plains, biomesoplenty:clover_patch, CREATURE, ars_nouveau:drygmy,3,1,1
2696, plains, biomesoplenty:clover_patch, MONSTER, instrumentalmobs:drum_zombie,3,4,4
2698, plains, biomesoplenty:clover_patch, MONSTER, instrumentalmobs:french_horn_creeper,3,4,4
2695, plains, biomesoplenty:clover_patch, MONSTER, instrumentalmobs:maraca_spider,3,4,4
2699, plains, biomesoplenty:clover_patch, MONSTER, instrumentalmobs:tuba_enderman,3,1,4
2697, plains, biomesoplenty:clover_patch, MONSTER, instrumentalmobs:xylophone_skeleton,3,4,4
2712, plains, biomesoplenty:clover_patch, CREATURE, minecraft:donkey,3,1,3
2713, plains, biomesoplenty:clover_patch, CREATURE, restored_earth:rainbow_sheep,3,1,1
2700, plains, biomesoplenty:clover_patch, MONSTER, restored_earth:viler_witch,3,1,1
2721, plains, biomesoplenty:clover_patch, AMBIENT, alexsmobs:cockroach,4,5,5
2716, plains, biomesoplenty:clover_patch, CREATURE, ars_nouveau:starbuncle,4,1,1
2717, plains, biomesoplenty:clover_patch, CREATURE, ars_nouveau:whirlisprig,5,1,1
2693, plains, biomesoplenty:clover_patch, MONSTER, minecraft:enderman,5,1,4
2711, plains, biomesoplenty:clover_patch, CREATURE, minecraft:horse,5,2,6
2694, plains, biomesoplenty:clover_patch, MONSTER, minecraft:witch,5,1,1
2689, plains, biomesoplenty:clover_patch, MONSTER, minecraft:zombie_villager,5,1,1
2731, plains, biomesoplenty:clover_patch, WATER_AMBIENT, aquaculture:gar,6,1,2
2701, plains, biomesoplenty:clover_patch, MONSTER, restored_earth:bouldering_zombie,6,1,1
2702, plains, biomesoplenty:clover_patch, MONSTER, alexsmobs:centipede_head,8,1,1
2710, plains, biomesoplenty:clover_patch, CREATURE, minecraft:cow,8,4,4
2715, plains, biomesoplenty:clover_patch, CREATURE, alexsmobs:crow,10,3,5
2714, plains, biomesoplenty:clover_patch, CREATURE, alexsmobs:raccoon,10,2,4
2725, plains, biomesoplenty:clover_patch, WATER_AMBIENT, aquaculture:brown_trout,10,1,3
2724, plains, biomesoplenty:clover_patch, WATER_AMBIENT, aquaculture:carp,10,1,3
2727, plains, biomesoplenty:clover_patch, WATER_AMBIENT, aquaculture:smallmouth_bass,10,1,3
2719, plains, biomesoplenty:clover_patch, AMBIENT, minecraft:bat,10,8,8
2709, plains, biomesoplenty:clover_patch, CREATURE, minecraft:chicken,10,4,4
2722, plains, biomesoplenty:clover_patch, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
2708, plains, biomesoplenty:clover_patch, CREATURE, minecraft:pig,10,4,4
2707, plains, biomesoplenty:clover_patch, CREATURE, minecraft:sheep,12,4,4
2729, plains, biomesoplenty:clover_patch, WATER_AMBIENT, aquaculture:minnow,18,1,5
2728, plains, biomesoplenty:clover_patch, WATER_AMBIENT, aquaculture:bluegill,20,1,6
2730, plains, biomesoplenty:clover_patch, WATER_AMBIENT, aquaculture:perch,20,1,6
2704, plains, biomesoplenty:clover_patch, MONSTER, ars_nouveau:wilden_hunter,30,1,1
2703, plains, biomesoplenty:clover_patch, MONSTER, ars_nouveau:wilden_stalker,30,3,3
2691, plains, biomesoplenty:clover_patch, MONSTER, minecraft:creeper,50,4,4
2690, plains, biomesoplenty:clover_patch, MONSTER, minecraft:skeleton,50,4,4
2692, plains, biomesoplenty:clover_patch, MONSTER, minecraft:slime,50,4,4
2687, plains, biomesoplenty:clover_patch, MONSTER, minecraft:spider,50,4,4
2688, plains, biomesoplenty:clover_patch, MONSTER, minecraft:zombie,50,4,4
2706, plains, biomesoplenty:clover_patch, MONSTER, quark:stoneling,50,1,1
2705, plains, biomesoplenty:clover_patch, MONSTER, quark:toretoise,50,2,4
2758, icy, biomesoplenty:cold_desert, AMBIENT, alexsmobs:fly,3,2,3
2756, icy, biomesoplenty:cold_desert, CREATURE, ars_nouveau:drygmy,3,1,1
2741, icy, biomesoplenty:cold_desert, MONSTER, instrumentalmobs:drum_zombie,3,4,4
2743, icy, biomesoplenty:cold_desert, MONSTER, instrumentalmobs:french_horn_creeper,3,4,4
2740, icy, biomesoplenty:cold_desert, MONSTER, instrumentalmobs:maraca_spider,3,4,4
2744, icy, biomesoplenty:cold_desert, MONSTER, instrumentalmobs:tuba_enderman,3,1,4
2742, icy, biomesoplenty:cold_desert, MONSTER, instrumentalmobs:xylophone_skeleton,3,4,4
2753, icy, biomesoplenty:cold_desert, CREATURE, minecraft:polar_bear,3,1,2
2745, icy, biomesoplenty:cold_desert, MONSTER, restored_earth:viler_witch,3,1,1
2759, icy, biomesoplenty:cold_desert, AMBIENT, alexsmobs:cockroach,4,5,5
2738, icy, biomesoplenty:cold_desert, MONSTER, minecraft:enderman,5,1,4
2739, icy, biomesoplenty:cold_desert, MONSTER, minecraft:witch,5,1,1
2734, icy, biomesoplenty:cold_desert, MONSTER, minecraft:zombie_villager,5,1,1
2746, icy, biomesoplenty:cold_desert, MONSTER, restored_earth:bouldering_zombie,6,1,1
2747, icy, biomesoplenty:cold_desert, MONSTER, alexsmobs:centipede_head,8,1,1
2754, icy, biomesoplenty:cold_desert, CREATURE, waddles:adelie_penguin,8,1,4
2757, icy, biomesoplenty:cold_desert, AMBIENT, minecraft:bat,10,8,8
2760, icy, biomesoplenty:cold_desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid,10,4,6
2755, icy, biomesoplenty:cold_desert, CREATURE, alexsmobs:tusklin,18,3,5
2748, icy, biomesoplenty:cold_desert, MONSTER, ars_nouveau:wilden_guardian,30,1,1
